Dollar Tree,2951929,"A+ Tree & Crane Services, Inc.",0,1,
Alcatel-Lucent,4274,Dimension Data UK,0,1,
Columbia University,2624,Columbia University in the City of New York,25,0,
US Department of Veterans Affairs,271896,1E,0,1,
Manpower,2835101,Manpower Professional - Las Vegas,0,1,
Ameriprise,2515038,Ameriprise Auto & Home Insurance,10,1,
AMC Entertainment,165103,National CineMedia (NCM),17,1,
Aetna,5564,"Coventry Health Care, an Aetna Company",0,1,
Securitas Security Services USA,307494,"Securitas Security Services USA, Inc.",9,1,
Chili's,2287456,Dolores Chili Brick,0,1,
Visa Inc.,269755,BBVA Compass,18,1,
Sephora,3544878,Sephora Design,0,1,
Fedex Express,40761,KickApps Corporation,0,1,
Starwood Hotels & Resorts,3035,"Starwood Hotels & Resorts Worldwide, Inc.",23,1,
Nokia,2962413,Nokia Growth Partners,0,1,
Discover,3762,Discover Financial Services,83,1,
Citrix Systems,164004,Global Knowledge Training,4,1,
URS,4284,URS Corporation,24,1,
H E B,904770,lgofbeverlyhills,0,1,
Red Lobster,163347,Darden,9460,1,
National Instruments,1841,Medtronic,25,1,
Hyatt,220336,Hyatt Hotels Corporation,6,0,
Kraft Foods,4100,Starcom MediaVest Group,9,1,
Wolters Kluwer,2487,"Wolters Kluwer, CCH",3,1,
Abbott Labs,1612,Abbott,36,0,
Life Time Fitness,165697,REI,0,1,
Eli Lilly,1663,Eli Lilly and Company,18,1,
American Income Life,12868,The Entrepreneur's Source,0,1,
MIT,1503,Massachusetts Institute of Technology (MIT),182,1,
Reynolds and Reynolds,3720,The Reynolds and Reynolds Company,171,1,
AlliedBarton,162381,AlliedBarton Security Services,4,1,
BlackRock,2766517,Blackrock Lender Services,0,1,
Cracker Barrel,3568812,The Focus Group Management Consulting,1,1,
Electronic Arts,6391,Tavant Technologies,0,1,
Buffalo Wild Wings,162206,22squared,0,1,
Wegmans,166905,Wegmans Food Markets,1,1,
W.W. Grainger,3863,Grainger,51,1,
McKinsey & Company,2290848,"Objective Health, a McKinsey Solution for Healthcare Providers",0,1,
ITT Technical Institute,30098,Center for Professional Development @ ITT Technical Institute,0,1,
Texas A&M,4556,Texas A&M University,86,1,
Brigham Young University (BYU),13635,BYU-Idaho,0,1,
Chrysler,1616,Chrysler Group LLC,3,1,
US Department of Defense,165069,Mullen,0,1,
Rent-A-Center,564686,Next Contact,0,1,
Cummins,3143906,Cummins Crosspoint,0,1,
A̩ropostale,14191,Aeropostale,5,1,
Papa John's,14430,Papa John's International,4,1,
Burlington Coat Factory,11240,"Burlington Stores, Inc.",7,1,
First Data,2020,First Data Corporation,489,1,
Rackspace,5234,"Rackspace, the #1 managed cloud company",248,1,
University of Texas at Austin,3162,The University of Texas at Austin,2,1,
MITRE,2793318,Mitre Accounting and Tax Service,0,1,
hhgregg,43537,h.h. gregg,26,1,
CareerBuilder,4162,CareerBuilder.com,12,0,
TeleTech,5945,"eLoyalty, a TeleTech Company",6,1,
BearingPoint,1207880,"Diogenec Group, LLP",0,1,
YP,1865398,Elevate YPO,0,1,
Outback Steakhouse,6043,Deutsch,2,1,
Massage Envy,164868,Massage Envy Spa,3,1,
The Children's Place,4798,Hallmark Cards,4,1,
Morgan Stanley Smith Barney,1351,Morgan Stanley Wealth Management,98,1,
Overstock.com,2571886,KC Overstock,0,1,
Avon Products,2614,Avon,25,1,
Dow Chemical,5849,Dow Corning,6,1,
Georgia Tech,3558,Georgia Institute of Technology,179,1,
H&M,2567179,"H&M Mechanical Constructors, Inc.",0,1,
CBRE,2953351,CBRE Global Investors,0,1,
Cheesecake Factory,2729597,Vollmer's Bakery and Cheesecake Factory,0,1,
Keller Williams,2224,"Keller Williams Realty, Inc.",392,1,
Charter Communications,166829,VML,13,1,
Pacific Gas and Electric,3895,Pacific Gas and Electric Company,47,1,
FIS,100783,FIS Group,0,1,
HSBC Bank USA,2194820,Prineta Payment Consulting,0,1,
Belk,3521881,Belk Architecture,0,1,
Jacobs Engineering,4025,Jacobs,29,1,
Barclays Capital,24864,Allied Testing,0,1,
Washington Mutual,6378,Russell Investments,14,1,
Chico's FAS,163019,Chico's FAS Inc.,586,1,
CROSSMARK,3729963,CrossMark Risk Solutions,0,1,
Marshalls,410048,"Southfield Packaging/Marshalls Express, Inc.",0,1,
IKEA,3046152,Vivson Ikea,0,1,
NYU (New York University),3159,New York University,51,1,
Covidien,57390,Switch,4,1,
Polo Ralph Lauren,4688,Ralph Lauren,5,1,
KeyBank,3253,KeyBank Real Estate Capital,0,1,
Harris,272690,"Harris & Harris, Ltd.",1,1,
ALDI,1388360,Aldi Real Estate,0,1,
HSBC Holdings,1056439,CoBe Capital,0,1,
Regal Entertainment,19251,Regal Entertainment Group,0,1,
Kimberly-Clark,1672,OgilvyOne Worldwide,0,1,
Baxter,1249150,"Baxter & Baxter, LLP",0,1,
Clear Channel,2541,Clear Channel Outdoor,8,1,
Regions Financial,1284,Credit Suisse,126,1,
Navistar,734935,"Pure Power Technologies LLC, A Navistar Company",0,1,
Teach for America,281289,Teach For Us,0,1,
Olive Garden Italian Restaurants,3798634,Olive Garden,0,1,
UC San Diego,3382,"University of California, San Diego",112,1,
Ohio State University,3171,The Ohio State University Wexner Medical Center,131,1,
Sodexo USA,3237698,Dynamic Drinkware,0,1,
TJX Companies,5121,"The TJX Companies, Inc.",18,1,
Dunkin' Donuts,163520,Dunkin' Brands,9,1,
BCBG,8989,BCBGMAXAZRIAGROUP,6,1,
CACI International,3672,CACI International Inc,45,1,
Caesars Entertainment,4210,Caesars Entertainment Corporation,10,1,
R.R. Donnelley,28299,"EDGAR Online, a division of R.R. Donnelley & Sons Company",0,1,
IRS,2937062,IRS Remedy,0,1,
MTV Networks,1884,Viacom,17,1,
Cargill,5073584,Cargill Marketing and Communications,0,1,
Turner Broadcasting,2047,Turner Broadcasting System,3,1,
Capital Group,1123,Bank of America,28,1,
Jones Lang LaSalle,3178,JLL,140,1,
Circuit City,3421,CompUSA,0,1,
Neiman Marcus,2074739,6 Shore Road,0,1,
Southern California Edison,157357,Southern California Edison (SCE),51,1,
Roche,5043307,"Roche Human Resources Consulting, LLC",0,1,
LA Fitness,14278,Millennium Partners Sports Club Management,0,1,
The Fresh Market,166360,The Clorox Company,66,1,
Citizens Financial Group,163062,Citizens Bank,46,1,
Fresenius Medical Care - North America,5978,Fresenius Medical Care,65,1,
Fry's Electronics,1417798,LYNX INNOVATION INC,1,1,
University of Chicago,6477,Loyola University Chicago,111,1,
Cobalt,1655081,Cobalt Capital Partners,0,1,
Novartis Pharmaceuticals,1406,Novartis,15,1,
UC San Francisco,2517,UC Berkeley,19,1,
Teleperformance,3730201,GMS CONNECT,0,1,
McGladrey LLP,3743,McGladrey,500,1,
Sonic,7638,Sonic Drive-In,4,1,
Container Store,64774,Port of Long Beach,0,1,
Nestl̩ USA,1171662,"GModelo USA, LLC",0,1,
Whirlpool,2551,Whirlpool Corporation,22,1,
Kforce,3076,Kforce Inc,49,1,
Giant Eagle,2683207,"Williams, Moliterno & Scully Co., L.P.A.",0,1,
Aaron's,1516933,Aaron Chang Ocean Art Galleries,0,1,
Books-A-Million,1885,Nickelodeon,1,1,
US Coast Guard,462659,US Coast Guard Auxiliary,0,1,
Bankers Life & Casualty,5007,Bankers Life and Casualty Company,24,1,
Northern Trust,3831,Northern Trust Corporation,15,1,
Randstad US,157324,Randstad Technologies US,0,1,
Levi Strauss,165420,Pcubed,0,1,
Digitas,8790,Digitas Health LifeBrands,0,1,
Acosta,8097,Acosta Sales & Marketing,192,1,
Cellular Sales,4729,U.S. Cellular,51,1,
Public Storage,1093,Dell,1255,1,
JoS. A. Bank,42610,Jos. A. Bank Clothiers,3,1,
LabCorp,923992,National Genetics Institute; a LabCorp subsidiary,0,1,
MD Anderson,164901,MD Anderson Cancer Center,22,1,
Federal Government,1614,SAIC,200,1,
LSI,164778,"LSI, an Avago Technologies Company",0,1,
Supermedia,1364700,Inceptor,0,1,
US Investigations Services,7787,AlixPartners,4,1,
JetBlue,164535,JetBlue Airways,4,1,
Life Technologies,1035,Microsoft,2242,1,
The Buckle,33588,"The Buckle, Inc.",0,1,
New York City Department of Education,2905,NYC Department of Education,0,1,
Exelis,256931,Exelis C4i,0,1,
MassMutual,3631,MassMutual Financial Group,6,1,
Hospital Corporation of America,3626,HCA,15337,1,
Education Management Corporation,1550,Kaiser Permanente,44,1,
Zynga,7284,Academy of Art University,11,1,
NIH,165107,National Institutes of Health,4,1,
Marvell Technology,3772,Marvell Semiconductor,28,1,
Party City,6516,DST Systems,9,1,
C.H. Robinson Worldwide,162987,C.H. Robinson,77,1,
Cablevision Systems,4294,Cablevision,20,1,
Dominion Enterprises,2261895,"ZiiOS, LLC",0,1,
Unilever,625058,Unilever PeopleLink,0,1,
Iron Mountain Inc,3780,Iron Mountain,31,1,
Wells Fargo Advisors,1235,Wells Fargo,94,1,
E*TRADE Financial,11516,Aramex,0,1,
Cricket Communications,5780,Cricket Wireless,4,1,
Adecco USA,1930,"Adecco Staffing, USA",14,1,
Brocade Communications,5853,Westcon,7,1,
Hallmark,4798,Hallmark Cards,4,1,
Ingersoll-Rand,3175,Ingersoll Rand,31,1,
Fred Meyer,4914,Kroger,3,1,
Xilinx,2770015,"Bottom Line Technologies, Inc",0,1,
MathWorks,1851745,MathWorks Consulting,0,1,
Boston Consulting Group,1784,The Boston Consulting Group,3,1,
Salvation Army,166406,The Salvation Army,417,1,
Arby's,11874,"Arby's Restaurant Group, Inc.",20,1,
Wawa,12241,"Wawa, Inc.",14,1,
KFC,3408,Yum! Restaurants International,0,1,
T.G.I. Friday's,11520,T.G.I. Fridays,5,1,
Jo-Ann Stores,164543,"Jo-Ann Stores, LLC.",1008,1,
International Game Technology,5147,IGT,50,1,
Maxim Integrated,3766972,Barksteel Systems,0,1,
Crate & Barrel,9849,Crate and Barrel,5,1,
Mary Kay,2835,Mary Kay Inc.,12,1,
Panda Express,3065793,WBT Industries,0,1,
Yale University,4071,Yale University Careers,7,1,
American Automobile Association (AAA),3243196,Seminole Hard Rock Hotel & Casino Tampa,0,1,
Volt Information,2594,Volt Information Sciences,0,1,
University of Arizona,4734,The University of Arizona,81,1,
Nortel Networks,25672,Continuant,1,1,
Blue Shield Of California,2619,WellPoint,27,1,
The Campus Special,7257,University of New Hampshire,7,1,
North Carolina State University,4813,NC State University,1,1,
Cost Plus,4556,Texas A&M University,86,1,
Georgia-Pacific Corporation,166521,TSYS,77,1,
GlaxoSmithKline,429603,G2 Worldwide,13,1,
L'Or̩al USA,2591827,Maximus Spa Salon,0,1,
InterContinental Hotels,3549,IHG - InterContinental Hotels Group,3,1,
Gymboree,2504345,"Gymboree Play & Music of Ocean & Howell, NJ",0,1,
Tiffany & Co.,1017693,Tiffany Blackstone Photography,0,1,
Justice Just for Girls,3694113,REST,0,1,
Union Pacific,5992,Union Pacific Railroad,5,1,
Sabre,2113,Sabre Corporation,73,1,
Bechtel,87935,Bechtel Jacobs,0,1,
University of Wisconsin,4099,University of Wisconsin-Madison,529,1,
P.F. Chang's,1085528,Cuisine On The Scene,0,1,
Dow Jones,1431,PepsiCo,691,1,
Dairy Queen,389308,Mobivity,0,1,
BlackBerry,2647412,Blackberry Repair Centre,0,1,
Claire's Stores,30498,Claire's Accessories,0,1,
Michigan State,166139,State of Michigan,0,1,
Shoprite Supermarkets,5188779,"Stevens Design & Animation, LLC",0,1,
Fluor,3681,Fluor Corporation,6,1,
The World Bank,1123,Bank of America,28,1,
National Oilwell Varco,3624302,"World Petroleum Supply, Inc.",0,1,
White House Black Market,163019,Chico's FAS Inc.,587,1,
Cold Stone Creamery,92406,Kahala,1,1,
AstraZeneca,6169,MedImmune,41,1,
Clorox,166360,The Clorox Company,67,1,
Emeritus Senior Living,28965,Emeritus,4,1,
Grant Thornton,2432,Grant Thornton LLP,74,1,
New York & Company,6360,New York Presbyterian Hospital,209,1,
AmeriCorps,1550928,AmeriCorps St. Louis,0,1,
Nestl̩ Purina PetCare,1396,Nestl̩ Purina North America,27,1,
SAS Institute,1491,SAS,18,1,
EarthLink,1591196,EarthLink Business,51,1,
Garmin,9240,Garmin International,22,1,
Rain Bird,2392792,Watermaster Irrigation Supply,0,1,
University of Utah,4888,University of Utah - Employment,320,1,
Ryder System,4453,"Ryder System, Inc.",9,1,
J.B. Hunt,164527,"JB Hunt Transport Services, Inc.",2,1,
US Department of State,2998,US Department of Homeland Security,141,1,
Marsh & McLennan Companies,1096648,"Marsh & McLennan Companies, Inc.",21,1,
Sedgwick Claims Management Services,3127,Fidelity National Financial,0,1,
Pharmaceutical Product Development,4430,PPD,50,1,
Vitamin Shoppe,166421,The Vitamin Shoppe,19,1,
Union Bank N.A.,4375,Union Bank,14,1,
ConAgra Foods,15153,Element 79,0,1,
Memorial Sloan-Kettering,5630,Memorial Sloan Kettering Cancer Center,72,1,
Nuance,3719,Nuance Communications,27,1,
Coventry Health Care,5564,"Coventry Health Care, an Aetna Company",0,1,
Support.com,2719847,Total Tec Solutions,0,1,
Guess?,164086,"GUESS?, Inc.",12,1,
Advisory Board,166346,The Advisory Board Company,143,1,
Western Digital,4593,"WD, a Western Digital company",11,1,
Heinz,1111451,"The H. John Heinz III Center for Science, Economics and the Environment",0,1,
QuikTrip,3223405,Midlothian Economic Development,0,1,
American Apparel,1678,Banana Republic / Gap Inc.,5,1,
Westinghouse,166921,Westinghouse Electric Company,0,1,
Regus,1769577,REGUS RECRUITMENT LTD,0,1,
Shell,1274,Shell Trading,0,1,
Fossil,163880,"Fossil Group, Inc.",197,1,
Speedway LLC,2423445,"Speedway Motorsports, Inc. (SMI)",0,1,
Waffle House,3612215,Charm Etiquette,0,1,
Windstream,12709,Windstream Communications,33,1,
Kiewit Corporation,9585,Kiewit,12,1,
Covance,2468714,"Ganado Painting and Wallcovering, Inc.",0,1,
rue21,2987936,Browman Development Company,0,1,
Chuck E. Cheese's,38510,CEC Entertainment,0,1,
Amedisys,489764,"Beacon Hospice, an Amedisys company",0,1,
Dex One,735025,Dex Media,8,1,
Bright Horizons Family Solutions,9187,Bright Horizons,11,1,
TIBCO Software,30324,Intelliswift,0,1,
Delphi,2569480,Delphi Research Services Pvt. Ltd.,0,1,
Denny's,2925294,Denny Manufacturing,0,1,
Follett Higher Education Group,328678,Digital College Network,0,1,
Virginia Tech,2271322,Lean@VirginiaTech,0,1,
U-Haul,460149,Uhaul,1687,1,
Guidewire,9624,Guidewire Software,36,1,
Family Video,3007,Universal Music Group,2,1,
Sikorsky,1182134,"Composite Technology, Inc. a Sikorsky Company",0,1,
Michael Kors,5002652,KEC Ventures,0,1,
LPL Financial,1218231,The Botsford Group,0,1,
Little Caesar's,31820,Little Caesars Pizza,1,1,
Aldo,3640655,"Aldo Products Company, Inc.",0,1,
Bon-Ton Stores,294780,The Bon Ton Stores Inc.,0,1,
Ferguson Enterprises,2240,Juniper Networks,127,1,
Mattel,3213,Mattel Interactive,0,1,
Brown Brothers Harriman,461672,TRITECH Communications,2,1,
Sage North America,725007,Sage ERP Africa,0,1,
Ally Financial,1474,Ally Financial Inc.,18,1,
UniFirst,17226,UniFirst Corporation,52,1,
Est̩e Lauder Companies,4059,The Est̩e Lauder Companies Inc.,12,1,
W.L. Gore,5996,W. L. Gore & Associates,16,1,
Navigant Consulting,1137763,"Kohler HealthCare Consulting, Inc.",0,1,
BASF Corporation,163469,Verenium...now part of BASF,0,1,
Warner Bros.,2470,Warner Bros. Entertainment Group of Companies,18,1,
S&P Ratings,3062,Standard & Poor's,29,1,
Kaplan Test Prep and Admissions,3345,Kaplan Test Prep,121,1,
Jenny Craig,2968439,ECO-STAR ENERGY SOLUTIONS,0,1,
TriZetto,166418,TriZetto Corporation,13,1,
"Ryan, LLC",218114,Genz-Ryan,0,1,
Diebold,1573005,Diebold Ventures,0,1,
Ritz-Carlton,2311,Marriott International,2125,1,
Hastings Entertainment,1713684,Viper Comics,0,1,
Medco Health,3546504,Medco Medical Supply,0,1,
Wiley,3567520,Wiley's Online,0,1,
Bose,4030,Bose Corporation,276,1,
Con-way Freight,4870,"Con-way, Inc.",1352,1,
KBR,2219,"KBR, Inc.",7,1,
Infor Global,18865,UXC Eclipse,2,1,
Luxottica,164787,Luxottica Retail North America,19,1,
ING,5723,ING Investment Management,0,1,
Schwan's,6234,The Schwan Food Company,7,1,
American Heart Association,157306,American Heart Association | American Stroke Association,8,1,
Weight Watchers,1080815,"Joan Marie Verba, Health Coach",0,1,
Reynolds American,165749,RJ Reynolds,2,1,
Zara,2154626,Chez|Zara,0,1,
Nokia Networks,125389,Wirkle Inc.,0,1,
Autonomy,4014,HP Autonomy,5,1,
DHL Express,2245177,US 30 Post Express,0,1,
Colgate-Palmolive,3459,Young & Rubicam,2,1,
"Serco, Inc.",3402,Sodexo,52,1,
Western Union,5992,Union Pacific Railroad,5,1,
Franklin Templeton Investments,1966276,Franklin Square Capital Partners,2,1,
D&B,2385,Dun and Bradstreet,3,1,
IBM Research,1009,IBM,2151,1,
Booz & Company,1403,Booz Allen Hamilton,42,1,
iGATE,3683,iGate Mastech,0,1,
Four Seasons,6830,State of Indiana,8,1,
Broadridge,11834,Broadridge Financial Solutions,54,1,
Mars,1547,Mars Petcare,12,1,
PTC,6817,Enigma (now part of PTC http://www.linkedin.com/company/ptc),0,1,
Analog Devices,1959,Freescale Semiconductor,17,1,
Akamai,3925,Akamai Technologies,174,1,
adidas Group,165069,Mullen,0,1,
Barclays,1796723,Barclays Center,0,1,
RB,2968969,RB Production Rentals,0,1,
Continental,4673,Continental Airlines,0,1,
Markit,142810,Markit Securities Finance,0,1,
Emerson Process Management,415267,"Turbine Control Service Associates, Inc.",0,1,
Adecco,1930,"Adecco Staffing, USA",15,1,
Samsung Group,4100,Starcom MediaVest Group,10,1,
BNP Paribas,2500,Havas Worldwide,24,1,
Ipsos,4322,Ipsos Reid,0,1,
Cypress Semiconductor,3579,Cypress Semiconductor Corporation,7,1,
UBS Investment Bank,2460414,GoBuyside Inc.,2,1,
Royal Dutch Shell,1605057,"Thinking Edge, LLC",0,1,
Mahindra Satyam,1857,Tech Mahindra (formerly Mahindra Satyam),0,1,
BHP Billiton,2701990,Flex Force Pty ltd,0,1,
IBM India,246518,BitWise Inc,0,1,
Nestl̩,1395,Nestl̩ Waters North America,17,1,
Soci̩t̩ G̩n̩rale,163803,Newedge,0,1,
Royal Bank of Scotland,167027,ZenithOptimedia Group I The ROI Agency,6,1,
Aditya Birla Minacs,12801,The Minacs Group,4,1,
MphasiS,66441,Mphasis Wyde,0,1,
Philips Electronics,2778323,One-Red LLC,0,1,
WorleyParsons,547872,NANA WorleyParsons,0,1,
Sanofi-Aventis,44487,Knack Systems,0,1,
Marcus Evans,323500,THG Sports,0,1,
Sun Life,2483244,SunLife Home Health,0,1,
ABC,1299,Disney ABC Television Group,18,1,
OpenText,8761,EasyLink Services - now a part of OpenText,0,1,
STMicroelectronics,3356671,NFC Forum,0,1,
Diageo,325292,Syncapse,0,1,
Fujitsu,1377,Fujitsu Network Communications,2,1,
NetCracker Technology,165155,NetCracker,1,1,
Tim Hortons,3193519,"Kelton Enterprises, LLC",0,1,
Headstrong,4386,Genpact Headstrong Capital Markets,10,1,
FDM Group,1636835,Incodema Inc.,0,1,
BMO Financial Group,164126,BMO Harris Bank,859,1,
Atos,32631,San Diego Data Processing Corporation,0,1,
BT,1181,BT Global Services,10,1,
Ubisoft,319643,Zong,0,1,
Robert Bosch,165755,Bosch North America,52,1,
Royal Bank of Canada,1800,RBC Capital Markets,75,1,
Airbus Group,31454,"Airbus Helicopters, Inc.",1,1,
L'Or̩al,7677,E2open,6,1,
Polaris FT,97785,America's PowerSports,0,1,
Standard Chartered Bank,166268,TBWA\Worldwide,0,1,
Exl Service,163743,EXL,9,1,
KPIT Technologies,5521,KPIT,0,1,
ABB Group,31406,Baldor Electric Company ��� A Member of the ABB Group,39,1,
Persistent Systems (India),27492,Norwest Venture Partners,0,1,
NIIT Technologies,271908,NIIT Technologies Limited,0,1,
Scotiabank,163875,Fortent,0,1,
Larsen & Toubro,4500,L&T Infotech,0,1,
Sasken,738520,"Bryte Telecom, LLC",0,1,
KPMG International,3357260,KPMG Corporate Finance LLC,0,1,
CMC,24162,CMC Biologics,0,1,
Manulife Financial,2690,John Hancock Financial Services,91,1,
Logica,3695558,Logica Capital Advisers LLC,0,1,
TELUS,444501,TELUS International Philippines,0,1,
Cisco Systems India,27492,Norwest Venture Partners,0,1,
Vodafone,32745,SapientNitro,41,1,
University of Toronto,3663,"Rotman School of Management, University of Toronto",0,1,
CIBC,1824,CIBC World Markets,0,1,
Axis Bank,2416656,AXIS LLC,0,1,
National University of Singapore,3148403,Technische Universit�_t M�_nchen Asia (German Institute of Science & Technology - TUM Asia),0,1,
ICICI Bank,13084,Pramati Technologies,0,1,
Reliance Industries,3960,Ciena,31,1,
WalMart Canada,163590,Ektron,3,1,
Walmart,2646,Walmart,183,0,
Lowe's,-1,null,0,0,* only Lowe's Canada
Cisco Systems,1063,Cisco,258,0,
US Air Force,157235,United States Air Force,20,0,
Sears,1944,Sears Holdings Corporation,9534,0,
Accenture,21314,Accenture Software for P&C Insurance,0,0,
Amazon.com,1586,Amazon,1212,0,
CVS Caremark,4680,CVS Caremark Corporation,237,0,
McDonald's,2677,McDonald's Corporation,44,0,
Enterprise Rent-A-Car,462318,Enterprise Holdings,20,0,
Nordstrom,538297,"Nordstromrack.com | HauteLook, a Nordstrom Company",0,0,
UPS,1524,UPS Supply Chain Solutions,0,0,
Chase,1068,JPMorgan Chase,902,0,
US Marine Corps,2039,United States Marine Corps,0,0,
Kohl's,3742136,Kohl Wholesale,0,0,
Target,1512,Target,6,0,
Microsoft,1035,Microsoft,2242,0,
IBM,1009,IBM,2163,0,
Bank of America,1123,Bank of America,28,0,
Wells Fargo,1235,Wells Fargo,94,0,
Best Buy,2127,Best Buy,3869,0,
AT&T,1052,AT&T,106,0,
US Army,1223,US Army,1,0,
Hewlett-Packard,1025,Hewlett-Packard,236,0,
The Home Depot,1534,The Home Depot,20,0,
Macy's,2300,Macy's,463,0,
Starbucks,2271,Starbucks,135,0,
Deloitte,1038,Deloitte,2452,0,
Apple,162479,Apple,1602,0,
US Navy,1335,US Navy,7,0,
Walgreens,3589,Walgreens,76,0,
J.P. Morgan,1067,J.P. Morgan,303,0,
Intel Corporation,1053,Intel Corporation,368,0,
PwC,1044,PwC,7253,0,
Verizon Wireless,2696,Verizon Wireless,97,0,
Oracle,1028,Oracle,168,0,
Dell,1093,Dell,1255,0,
Lockheed Martin,1319,Lockheed Martin,58,0,
EY,1073,EY,1375,0,
Sprint,1106,Sprint,47,0,
T-Mobile,1392,T-Mobile,1081,0,
Comcast,1703,Comcast,300,0,
Verizon,1103,Verizon,366,0,
Citi,11448,Citi,79,0,
Booz Allen Hamilton,1403,Booz Allen Hamilton,42,0,
Boeing,1384,Boeing,173,0,
Abercrombie & Fitch,5410,Abercrombie & Fitch,43,0,
Google,1441,Google,923,0,
Staples,3019,Staples,39,0,
Cognizant Technology Solutions,1680,Cognizant Technology Solutions,109,0,
